Product_name,Product_url,brand,Sale_price,MRP,Discount_percentage,Number_of_ratings,Number_of_reviews,Type_of_washing,UPC,Star_rating
SAMSUNG 6.5 kg Monsoon drying feature Fully Automatic Top Load Silver, https://www.flipkart.com/samsung-6-5-kg-monsoon-drying-feature-fully-automatic-top-load-silver/p/itme1ba4fde1563a?pid=WMNFV6ZYDFQFJGT5,SAMSUNG,14190,16800,15,69692,7029,Fully Automatic Top Load,WMNFV6ZYDFQFJGT5,4.4
LG 6.5 kg 5 Star Inverter Fully Automatic Top Load Silver, https://www.flipkart.com/lg-6-5-kg-5-star-inverter-fully-automatic-top-load-silver/p/itme4cacbedc1c8f?pid=WMNFZX5BMUYJMPRB,LG,15990,18490,13,12934,1207,Fully Automatic Top Load,WMNFZX5BMUYJMPRB,4.3
IFB 6 kg 5 Star Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/ifb-6-kg-5-star-fully-automatic-front-load-in-built-heater-white/p/itmehpcrfmzed87b?pid=WMNEHPCR5BJHXPRT,IFB,21490,23990,10,46831,5581,Fully Automatic Front Load,WMNEHPCR5BJHXPRT,4.3
Godrej 6.5 kg Fully Automatic Top Load Grey, https://www.flipkart.com/godrej-6-5-kg-fully-automatic-top-load-grey/p/itm8a7c9342c4c76?pid=WMNFU2TC3HQXAT4Y,Godrej,13790,17500,21,7430,861,Fully Automatic Top Load,WMNFU2TC3HQXAT4Y,4.2
"Whirlpool 7 kg 5 Star,Turbo Scrub Technology Semi Automatic Top Load Grey", https://www.flipkart.com/whirlpool-7-kg-5-star-turbo-scrub-technology-semi-automatic-top-load-grey/p/itmc2358c606b038?pid=WMNFH8WMMYH8WVAQ,Whirlpool,9290,11250,17,33513,3644,Semi Automatic Top Load,WMNFH8WMMYH8WVAQ,4.4
SAMSUNG 6 kg 5 star Inverter Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/samsung-6-kg-5-star-inverter-fully-automatic-front-load-in-built-heater-white/p/itm2ee8237807ed7?pid=WMNFP6FWBB4AMHYJ,SAMSUNG,21990,26500,17,7004,880,Fully Automatic Front Load,WMNFP6FWBB4AMHYJ,4.4
Whirlpool 6 kg Fully Automatic Top Load Grey, https://www.flipkart.com/whirlpool-6-kg-fully-automatic-top-load-grey/p/itmcb6f9bac28d1a?pid=WMNFYGG2RXGZGGFG,Whirlpool,12740,16800,24,773,66,Fully Automatic Top Load,WMNFYGG2RXGZGGFG,4.3
Whirlpool 7 kg Fully Automatic Top Load Grey, https://www.flipkart.com/whirlpool-7-kg-fully-automatic-top-load-grey/p/itmda9428f9a44c8?pid=WMNFYGG2CZMZXG7S,Whirlpool,14490,18950,23,773,66,Fully Automatic Top Load,WMNFYGG2CZMZXG7S,4.3
IFB 8 kg 5 Star Fully Automatic Front Load with In-built Heater Silver, https://www.flipkart.com/ifb-8-kg-5-star-fully-automatic-front-load-in-built-heater-silver/p/itmfb29mz7fw8mzf?pid=WMNFB29MBFKQKUG6,IFB,34990,40990,14,14514,1700,Fully Automatic Front Load,WMNFB29MBFKQKUG6,4.4
ONIDA 6.2 kg Fully Automatic Top Load Grey, https://www.flipkart.com/onida-6-2-kg-fully-automatic-top-load-grey/p/itmfd4jcbym9btxx?pid=WMNFD4JCWJEYZF7U,ONIDA,11490,19990,42,33037,3945,Fully Automatic Top Load,WMNFD4JCWJEYZF7U,4.2
"LG 7 kg Semi Automatic Top Load Maroon, White", https://www.flipkart.com/lg-7-kg-semi-automatic-top-load-maroon-white/p/itm1db0cdc5a8605?pid=WMNFJKR8PKXQMJCG,LG,10790,13590,20,11891,1161,Semi Automatic Top Load,WMNFJKR8PKXQMJCG,4.4
"MarQ By Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon", https://www.flipkart.com/marq-flipkart-6-kg-5-star-rating-semi-automatic-top-load-white-maroon/p/itm125a12d8f3fef?pid=WMNFMKPKZYYJAQWD,MarQ,6990,10010,30,39548,4882,Semi Automatic Top Load,WMNFMKPKZYYJAQWD,4.3
